# q_out			q_in			rb
-9.99945054122 -4.59797178301 15.2207301666
-10.0 -4.37755963497 13.1561805638
-2.14901094463 -4.16132722014 19.3261241219
-3.7170420715 -3.74014044592 3.33561006363
-4.00707356466 -4.6078122795 14.199396235
-1.89688507878 -3.52412192351 19.2008843015
-9.95588733986 -3.62722006301 10.5379972151
-9.99999999078 -3.05373455509 12.1390337193
-1.85100861622 -3.35597613761 19.998212995
-9.99999999999 -4.39023895582 12.7686477065
-9.99990420373 -4.16596749534 13.4743650346
-2.74031034513 -4.83391481338 13.0451446503
-9.99970699648 -5.70174027326 19.3361473822
-10.0 -4.71897338618 13.0971998688
-9.9999650051 -3.13688801506 17.7656354257
-1.63636703186 -4.44202761985 14.9799571099
-1.80941160208 -4.55994708667 14.313921059
-10.0 -3.51801487608 10.3427774337
-9.99501391217 -4.23222732934 14.9325190312
-9.99696463728 -3.7775807034 15.2834120567
-9.99999995259 -4.23360151329 9.79413950649
-2.20399292198 -4.87656645456 12.0423424925
-9.40484519951 -4.73818210279 10.9982196622
-9.99999922057 -4.11650774565 11.0262661376
-9.99998427708 -3.89860719977 9.97032095914
-4.52061964866 -3.42410118691 19.9985403302
-0.764974543413 -5.33678581913 19.9998998776
-10.0 -3.3778275381 9.20881844891
-9.98710500838 -3.1923626746 19.5412346649
-5.14266828322 -4.56241072386 17.6963988829
-1.64885174565 -4.71771245567 15.0
-2.13719416096 -3.60901379777 19.8360508122
-9.96896651016 -4.52636045224 14.5033121531
-9.99523984549 -5.44765252898 14.711429021
-10.0 -3.87069703891 11.4646620971
-10.0 -3.20039779017 13.9881749534
-10.0 -3.65155759847 8.37930073616
-9.99679277755 -3.72250542882 15.4223915002
-2.0165046002 -4.43822002487 14.9665399685
-1.97516472768 -10.4967141535 3.0
-9.9999999988 -5.43256814914 15.2882907079
-10.0 -3.953146121 14.5184355525
-1.38305454596 -4.79470106966 15.106418582
-10.0 -3.95093628253 16.1777194888
-9.99999999999 -4.25498631725 13.114068251
-4.09861160504 -4.37830470288 6.51040339945
-10.0 -4.76094839564 15.330736832
-1.23086382704 -4.24966769278 19.9999999996
-10.0 -4.12646815577 15.4730279804
-3.15494500282 -5.11773384937 15.9109056283
-1.57788767044 -4.62515999055 16.8147555388
-9.99999983023 -5.30691690732 10.7783349652
-9.99999984375 -4.45817312701 10.6894205515
-10.0 -4.21171163665 10.2916207061
-2.20163457861 -8.28424934272 3.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-3.0 -3.0 15.0
-9.9988880844 -4.45038270256 18.902688015
-9.99505543905 -4.06989118229 12.4050689288
-2.42508706322 -3.53195408828 14.7470275533
-9.99999360472 -4.11002348109 16.3683606093
-2.35121065525 -4.37649999518 15.7201507491
-4.05265186517 -5.37844228325 8.45706837651
-10.0 -4.70668942721 13.2471920501
-9.94748408033 -4.5561058199 14.2318634242
-9.99998987012 -3.8652145276 9.94978219745
-10.0 -6.64130854714 14.41366961
-9.99999908322 -3.90404015624 16.248142212
-1.71765881058 -4.96171025389 10.4173863731
-1.66895982624 -4.30213154132 16.8800434928
-9.99999377494 -4.20607281024 17.4225500268
-2.51119346627 -3.81633301489 14.7568717314
-9.99999999824 -3.9886252732 16.5897753963
-9.98982935795 -4.52606192764 9.97249102449
-8.30204342492 -4.25836919814 19.9976812195
-1.34820635765 -5.36123922395 15.1757145935
-9.96183070107 -4.70620292264 12.100982393
-5.46090152201 -4.61807234677 8.70009158918
-10.0 -3.526273981 14.9602763843
-8.99068106495 -4.27667541311 18.4283932477
-2.46096249125 -3.36165374315 19.9103183776
-9.99999999989 -3.33302186005 14.1826850662
